sample1,sample2,name1,time1,rep1,name2,time2,rep2,pearson_cor,spearman_cor,comparison_type
Guy11_2_2,mst7_4_1,Guy11,2,2,mst7,4,1,0.9308786168757995,0.9338872442016698,"Different strains, different time"
Guy11_4_2,mst7_4_1,Guy11,4,2,mst7,4,1,0.7899523420458369,0.8025622055427889,"Different strain, same time"
Guy11_24_2,mst7_4_1,Guy11,24,2,mst7,4,1,0.585830729598652,0.5990359582754959,"Different strains, different time"
mst7_0_3,mst7_4_1,mst7,0,3,mst7,4,1,0.8689090143805496,0.8660587958255649,"Same strain, different time"
mst7_2_3,mst7_4_1,mst7,2,3,mst7,4,1,0.9613500162109764,0.9622564862841649,"Same strain, different time"
mst7_4_3,mst7_4_1,mst7,4,3,mst7,4,1,0.936604911670856,0.9350859616109632,Biological replicates
mst7_24_3,mst7_4_1,mst7,24,3,mst7,4,1,0.8186213982112862,0.8182282607712446,"Same strain, different time"
MST7WT_0_3,mst7_4_1,MST7WT,0,3,mst7,4,1,0.7353638802912006,0.7435764803776698,"Different strains, different time"
MST7WT_2_3,mst7_4_1,MST7WT,2,3,mst7,4,1,0.9608671221765548,0.9614804699216075,"Different strains, different time"
MST7WT_4_3,mst7_4_1,MST7WT,4,3,mst7,4,1,0.8428271873651347,0.850914856113787,"Different strain, same time"
MST7WT_24_3,mst7_4_1,MST7WT,24,3,mst7,4,1,0.6689608960468287,0.6730892678282003,"Different strains, different time"
MST7PM_0_3,mst7_4_1,MST7PM,0,3,mst7,4,1,0.7206160736706745,0.7297871148551887,"Different strains, different time"
MST7PM_2_3,mst7_4_1,MST7PM,2,3,mst7,4,1,0.9504550622618272,0.9515084634570333,"Different strains, different time"
MST7PM_4_3,mst7_4_1,MST7PM,4,3,mst7,4,1,0.830727715157146,0.8386242881041674,"Different strain, same time"
MST7PM_24_3,mst7_4_1,MST7PM,24,3,mst7,4,1,0.5860044449323047,0.5922618258973977,"Different strains, different time"
MST7PD_0_3,mst7_4_1,MST7PD,0,3,mst7,4,1,0.7256051368948009,0.7333283635784759,"Different strains, different time"
MST7PD_2_3,mst7_4_1,MST7PD,2,3,mst7,4,1,0.9511679262931191,0.9521328995494661,"Different strains, different time"
MST7PD_4_3,mst7_4_1,MST7PD,4,3,mst7,4,1,0.8214644637647346,0.8339395209685396,"Different strain, same time"
MST7PD_24_3,mst7_4_1,MST7PD,24,3,mst7,4,1,0.6295749841977317,0.6374633710581338,"Different strains, different time"
